segment,customers,orders,gross_revenue,average_ticket,average_recency,customers_share,revenue_share
Recentes,38387,39760,6494745.2700000005,163.96026636621772,140.32419829629822,39.94651182151182,40.99298415965686
Hibernando,38388,39674,6188524.5,156.30025958632908,318.7277795144316,39.94755244755245,39.06020579004915
Perdidos,19272,19764,3122091.05,158.51236033277985,524.8013179742632,20.054945054945055,19.705750362347377
Clientes fiéis,34,156,28626.03,190.12178221288517,158.2058823529412,0.035381285381285384,0.1806793562426909
Campeões,6,49,5184.22,120.3265056022409,117.33333333333333,0.006243756243756244,0.032721321546176095
Em risco,9,38,4382.17,120.70175925925926,482.6666666666667,0.009365634365634366,0.027659010157749186
