forecast_month,forecast_gross_revenue,lower_bound,upper_bound,model_used,training_window_start,training_window_end,test_window_start,test_window_end,approximate_error_rmse
2018-09-01,1028237.8700000001,,,Média móvel - 3 meses,2017-01-01,2018-08-01,2018-05-01,2018-08-01,70182.48692307856
2018-10-01,1028237.8700000001,,,Média móvel - 3 meses,2017-01-01,2018-08-01,2018-05-01,2018-08-01,70182.48692307856
2018-11-01,1028237.8700000001,,,Média móvel - 3 meses,2017-01-01,2018-08-01,2018-05-01,2018-08-01,70182.48692307856
2018-12-01,1028237.8700000001,,,Média móvel - 3 meses,2017-01-01,2018-08-01,2018-05-01,2018-08-01,70182.48692307856
2019-01-01,1028237.8700000001,,,Média móvel - 3 meses,2017-01-01,2018-08-01,2018-05-01,2018-08-01,70182.48692307856
2019-02-01,1028237.8700000001,,,Média móvel - 3 meses,2017-01-01,2018-08-01,2018-05-01,2018-08-01,70182.48692307856
