,importance
Sensor_060,0.05808616505407731
Sensor_104,0.057951951264843045
Sensor_065,0.0521544169087054
Sensor_022,0.03301070155624243
Sensor_034,0.031820706490597976
Sensor_511,0.031605466286056275
Sensor_126,0.02653811873345873
Sensor_130,0.026420632644625634
Sensor_349,0.025770518218947776
Sensor_023,0.025577484038013215
Sensor_080,0.02516692817932541
Sensor_027,0.024833674266077552
Sensor_122,0.02385109225829691
Sensor_299,0.02374961346916024
Sensor_248,0.02330051871699167
Sensor_124,0.02315570949789669
Sensor_211,0.02288070521071277
Sensor_029,0.022848107668604276
Sensor_123,0.022816205502650688
Sensor_317,0.022806598713861218
Sensor_131,0.022638026847585056
Sensor_161,0.022339989740970817
Sensor_125,0.022323450166963067
Sensor_181,0.021978555142517744
Sensor_432,0.021674162640928554
Sensor_520,0.021626232028859545
Sensor_164,0.02141214090162803
Sensor_165,0.021365629817482756
Sensor_300,0.020992619461129326
Sensor_435,0.02094439130934509
Sensor_160,0.019934378555161947
Sensor_431,0.019536263388659218
Sensor_453,0.019515149316147402
Sensor_296,0.01940668583185219
Sensor_128,0.01794086918856927
Sensor_436,0.017481564668264993
Sensor_295,0.01693878226834954
Sensor_301,0.016880202443085343
Sensor_437,0.016031941547476933
Sensor_166,0.014693650055877977
